Name,Url,"Fork source","Creation date","Last update","Last version",Omeka.org,"Omeka min","Omeka target",Author,License,Description,Tags,Link,"Support link","Ini path","Last released zip"
Guarani,https://github.com/Revoada/guarani,,2015-07-20T13:57:58Z,2018-11-11T08:53:45Z,1.0,,2.0,,Revoada,GPLv3,"Um Tema desenvolvido especialmente para o Mapa da Cultura de Campinas, construido para Omeka v2.2.2.","b&w, minimal, skeleton, black, white, bootstrap",,http://www.revoada.net.br,,
GVSU,https://github.com/gvsulib/omeka_theme,,2016-11-01T19:07:15Z,2020-02-17T19:59:19Z,2.3.1,,2.3,,"Grand Valley State University",GPLv3,"GVSU CMS4 Theme",,,http://www.gvsu.edu/library/digitalcollections,,
Harlem,https://github.com/srerickson/harlem-theme,,2015-10-21T17:51:28Z,2016-03-11T17:01:22Z,2.3,,2.3,,"Teachers College, Columbia University",GPLv3,"Theme for Educating Harlem Project",,,https://github.com/srerickson/EducatingHarlemTheme,,
"Hispanic Liverpool",https://github.com/digihum/OmekaThemeDev-HispanicLiverpoolCC,,2015-07-24T13:11:14Z,2015-08-19T20:03:22Z,2.3,,2.3,,"Hafiz Hanif",GPLv3,"A custom Omeka theme for the Hispanic Liverpool Community Collection Project, by Kirsty Hooper, University of Warwick",,,http://hpl.warwick.ac.uk,master/themes/omekahispanicliverpool/theme.ini,
Historicity,https://github.com/jyannielli/ps-omeka,,2017-06-29T03:18:28Z,2017-07-11T18:03:22Z,2.4.0,,2.4,,"Crowd Communications Group, LLC, on behalf of the Princeton Universtiy, Center for Digital Humanities",GPLv3,"A classic looking theme with customizable typography, imagery, and responsive styles.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"History of the National Mall",https://github.com/chnm/mall-theme,,2013-08-08T14:04:46Z,2021-06-17T15:32:10Z,2.1,,2.1.1,,"Kim Nguyen",GPLv3,"Omeka theme for History of the National Mall",custom,,,,
Hurricane,https://github.com/chnm/theme-hurricane,,2012-06-28T18:56:41Z,2022-03-01T19:12:19Z,1.2,,1.3,1.4.1,"Andrea Odiorne",GPL,"Hurricane archive theme",,,,,
IBSS,https://github.com/Du4ert/ibss-theme,,2020-03-17T13:57:36Z,2022-02-13T04:26:28Z,2.2.1,,2.2.2,,"Daniel Berthereau (based on a work of Garrick S. Bodine, Amanda Regan) and Brendo Kozlowski","GPL v3","IBSS grid-based theme based on the Twitter Bootstrap framework (http://twitter.github.com/bootstrap). Based on the Omeka Boostrap theme by Garrick S. Bodine for https://mbda.berry.edu, updated by Daniel Berthereau, by Amanda Regan for https://www.wearinggayhistory.com, and by Brendon Kozlowski for Saratoga Library.","grid, bootstrap, responsive",,https://github.com/Daniel-KM/Omeka-theme-Bootstrap/issues,,
ICS,https://github.com/wludh/clew-theme,,2020-01-20T17:05:58Z,2020-01-20T17:06:53Z,1.1.1,,2.0,,"Mary Catherine Greenleaf",GPLv3,"A New Omeka theme for the Institute for Clew Studies, built for Omeka v2.2.2, featuring Twitter Boostrap v3.3.2.","b&w, minimal, skeleton, black, white, bootstrap",,https://github.com/InteractiveMechanics,,
"IDHP Made Minimal",https://github.com/muhrrynn/omeka-IDHP-Made_Minimal,,2017-01-04T15:34:09Z,2017-05-04T15:47:27Z,1,,2.2,,"Jenn L.","GPLv3 or later","Responsive theme combining aspects of Omeka Minimalist and WordPress Make.","responsive, minimal",,https://github.com/muhrrynn/omeka-IDHP-Made_Minimal/issues,,
"Images of Women in Sport and Physical Education",https://github.com/ZachPhillipsGary/woosterwomeninsports,,2016-03-03T17:37:00Z,2016-05-12T18:30:21Z,0.5,,2.3,,"Zach Phillips-Gary",GPL,"responsive minimal image focused theme.","minimalism, serif, yellow, responsive",,,,
"ISAW Images",https://github.com/paregorios/omeka-isaw-theme,,2014-04-25T15:00:47Z,2014-04-28T14:18:41Z,0.1,,2.0,,"Tom Elliott",GPLv3,"Theme for Omeka site used by the Institute for the Study of the Ancient World for its publicly available image collection. Derived from the 'Berlin' theme, created by the Roy Rosenzweig Center for History and New Media (version 2.1.3, October 10, 2013).",,,,,
"IU Black Film History",https://github.com/InteractiveMechanics/indianau-blackfilmhistory-omeka,,2014-03-16T20:37:29Z,2015-03-18T00:17:12Z,1.0.0,,2.0,,"Interactive Mechanics",GPLv3,"Omeka theme developed for Indiana University's Regeneration Black Film History conference.","film, video, black, tan, beige",,http://interactivemechanics.com,,
"IU Libraries",https://github.com/nhomenda/IULibraries,,2020-06-26T15:07:44Z,2021-09-01T14:59:20Z,1.0,,2.5,,"IU Libraries Digital Collections Services and William G. Cowan",GPLv3,"Theme for IU Libraries Omeka Classic sites, modified from Lugar Exhibition. Based on Thanks, Roy.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
KDNP,https://github.com/libmanuk/KDNPTheme,,2017-02-03T19:37:55Z,2017-02-03T20:56:05Z,2.3.1,,2.3,,"Eric C. Weig",GPLv3,"Theme for the Kentucky Digital Newspaper Program based on Berlin by Roy Rosenzweig Center for History and New Media.",,,http://omeka.org/forums/forum/themes-and-public-display,,
KillgroveTheme,https://github.com/LIS462Omeka/KillgroveTheme,,2016-03-14T23:43:00Z,2016-04-26T17:38:04Z,2.3.2,,2.3,,"Nicole Tebaldi, based on work by Roy Rosenzweig Center for History and New Media",GPLv3,"A customized version of Thanks Roy theme-a tribute to Roy Rosenzweig, with updated typography and responsive styles.","black, white, serif",,http://omeka.org/forums/forum/themes-and-public-display,,
"Legacy CUL General",https://github.com/fcd1/cul-general-legacy,,2014-01-15T17:46:13Z,2015-12-01T18:33:47Z,2.0,,2.0,,"Stuart Marquis, Fred Duby",GPLv3,"CUL General for exhibition created in Omeka 1.5.3",Columbia,,http://www.columbia.edu,,
"Luce Hackathon",https://github.com/patrickmj/lucehackathon,,2013-11-16T14:34:01Z,2013-11-17T05:01:41Z,1.0,,2.1,,"Patrick Murray-John",GPLv3,"Based on Thanks, Roy.","black, white, serif",,http://github.com/patrickmj/hackathon-theme/issues,,
"Magic Theory Practice",https://github.com/swat-ds/mtp-theme,,2020-02-10T17:32:16Z,2020-05-14T20:28:38Z,1.4.2,,2.5,,"DS @ Swat",GPLv3,"Fork of Omeka Team Big Picture Theme for Magic, Theory, Practice Course Site","sans-serif, image-heavy",,http://github.com/swat-ds/magic-theory-practice,,
